Chinese,Pinyin
出生,chūshēng
出现,chūxiàn
出院,chū yuàn
出租,chū zū
出租车,chūzūchē
船,chuán
吹,chuī
春节,chūn jié
春天,chūn tiān
词,cí
词典,cídiǎn
词语,cíyǔ
从小,cóng xiǎo
答应,dāying
打工,dǎgōng
打算,dǎsuàn
打印,dǎyìn
大部分,dà bù fèn
大大,dà dà
大多数,dà duō shù
大海,dà hǎi
大家,dàjiā
大量,dà liàng
大门,dà mén
大人,dà rén
大声,dà shēng
大小,dà xiǎo
大衣,dà yī
大自然,dà zì rán
带,dài
带来,dài lái
单位,dānwèi
但,dàn
但是,dàn shì
蛋,dàn
当,dāng
当时,dāngshí
倒,dǎo
到处,dàochù
倒,dào
道,dào
道理,dàolǐ
道路,dào lù
得,dé
得出,dé chū
的话,de huà
得,de
灯,dēng
等,děng
等到,děng dào
等于,děngyú
低,dī
地球,dìqiú
地铁,dìtiě
地铁站,dì tiě zhàn
点头,diǎn tóu
店,diàn
掉,diào
东北,dōng běi
东方,dōng fāng
东南,dōng nán
冬天,dōng tiān
懂,dǒng
懂得,dǒng de
动物,dòngwù
动物园,dòng wù yuán
读音,dú yīn
度,dù
短,duǎn
短信,duǎnxìn
段,duàn
队,duì
队长,duì zhǎng
对,duì
对话,duìhuà
对面,duìmiàn
多,duō
多久,duō jiǔ
多么,duōme
多数,duō shù
多云,duō yún
而且,ér qiě
发,fā
发现,fāxiàn
饭馆,fàn guǎn
方便,fāngbiàn
方便面,fāng biàn miàn
方法,fāngfǎ
方面,fāngmiàn
方向,fāngxiàng
放下,fàng xià
放心,fàngxīn
分,fēn
分开,fēn kāi
分数,fēn shù
分钟,fēnzhōng
份,fèn
封,fēng
服务,fú wù
复习,fùxí
该,gāi
改,gǎi
改变,gǎibiàn
干杯,gānbēi
感到,gǎn dào
感动,gǎndòng
感觉,gǎnjué
感谢,gǎnxiè
干活儿,gànhuór
刚,gāng
刚才,gāngcái
刚刚,gāng gāng
高级,gāojí
高中,gāo zhōng
个子,gèzi
更,gèng
公共汽车,gōnggòngqìchē
公交车,gōng jiāo chē
公斤,gōngjīn
公里,gōnglǐ
公路,gōng lù
公平,gōngpíng
公司,gōngsī
公园,gōngyuán
狗,gǒu
够,gòu
故事,gùshi
故意,gùyì
顾客,gùkè
关机,guān jī
关心,guānxīn
观点,guāndiǎn
广场,guǎngchǎng
广告,guǎnggào
国际,guójì
过来,guò lái
过年,guò nián
过去,guò qù
过,guò
海,hǎi
海边,hǎi biān
喊,hǎn
好,hǎo
好处,hǎochu
好多,hǎo duō
好久,hǎo jiǔ
好人,hǎo rén
好事,hǎo shì
好像,hǎoxiàng
合适,héshì
河,hé
黑,hēi
黑板,hēibǎn
黑色,hēi sè
红,hóng
红色,hóng sè
后来,hòulái
忽然,hūrán
湖,hú
护照,hùzhào
花,huā
花园,huā yuán
画,huà
画家,huà jiā
画儿,huàr
坏处,huài chù
坏人,huài rén
欢迎,huānyíng
换,huàn
黄,huáng
黄色,huáng sè
回,huí
回国,huí guó
会,huì
活动,huódòng
或,huò
或者,huòzhě
机会,jīhuì
鸡,jī
级,jí
急,jí
计划,jìhuà
计算机,jì suàn jī
加,jiā
加油,jiā yóu
家,jiā
家庭,jiātíng
家长,jiā zhǎng
假,jiǎ
假期,jià qī
检查,jiǎnchá
见到,jiàn dào
见过,jiàn guò
件,jiàn
健康,jiànkāng
讲,jiǎng
讲话,jiǎng huà
交,jiāo
交给,jiāo gěi
交朋友,jiāo péng yǒu
交通,jiāotōng
角,jiǎo
角度,jiǎodù
饺子,jiǎozi
脚,jiǎo
叫作,jiào zuò
教师,jiào shī
教室,jiàoshì
教学,jiào xué
教育,jiàoyù
接,jiē
接到,jiē dào
接受,jiēshòu
接下来,jiē xià lái
接着,jiēzhe
街,jiē
节,jié
节目,jiémù
节日,jiérì
结果,jiéguǒ
借,jiè
斤,jīn
今后,jīn hòu
进入,jìn rù
进行,jìnxíng
近,jìn
经常,jīngcháng
经过,jīngguò
经理,jīnglǐ
酒,jiǔ
酒店,jiǔ diàn
就要,jiù yào
举,jǔ
举手,jǔ shǒu
举行,jǔxíng
句,jù
句子,jùzi
卡,kǎ
开机,kāi jī
开心,kāixīn
开学,kāi xué
看法,kànfǎ
考生,kǎo shēng
靠,kào
科,kē
科学,kēxué
可爱,kě’ài
可能,kěnéng
可怕,kěpà
可是,kěshì
可以,kěyǐ
克,kè
刻,kè
客人,kèrén
课堂,kè táng
空气,kōngqì
哭,kū
快餐,kuài cān
快点儿,kuài diǎnr
快乐,kuàilè
快要,kuài yào
筷子,kuàizi
拉,lā
来自,láizì
蓝,lán
蓝色,lán sè
篮球,lán qiú
老,lǎo
老,lǎo 
老年,lǎo nián
老朋友,lǎo péng yǒu
老是,lǎo shì
离,lí
离开,líkāi
礼物,lǐwù
里头,lǐ tou
理想,lǐxiǎng
例如,lìrú
例子,lì zi
脸,liǎn
练,liàn
练习,liànxí
凉,liáng
凉快,liángkuai
两,liǎng
亮,liàng
辆,liàng
零下,líng xià
留,liú
留下,liú xià
留学生,liú xué shēng
流,liú
流利,liúlì
流行,liúxíng
路边,lù biān
旅客,lǚ kè
旅行,lǚxíng
旅游,lǚyóu
绿,lǜ
绿色,lǜ sè
卖,mài
满,mǎn
满意,mǎnyì
猫,māo
米,mǐ
面¹,miàn ¹
面²,miàn ²
面前,miàn qián
名,míng
名称,míng chēng
名单,míng dān
明星,míngxīng
目的,mùdì
拿出,ná chū
拿到,ná dào
那,nà
那会儿,nà huìr
那么,nà me
那时候,nà shí hou
那时,nà shí
那样,nà yàng
南方,nán fāng
难过,nánguò
难看,nán kàn
难受,nánshòu
难题,nán tí
难听,nán tīng
能够,néng gòu
年级,niánjí
年轻,niánqīng
鸟,niǎo
弄,nòng
努力,nǔlì
爬,pá
爬山,páshān
怕,pà
排,pái
排队,páiduì
排球,pái qiú
碰,pèng
碰到,pèng dào
碰见,pèng jiàn
篇,piān
便宜,piányi
片,piàn
漂亮,piàoliang
平,píng
平安,píng’ān
平常,píngcháng
平等,píngděng
平时,píngshí
瓶,píng
瓶子,píngzi
普通,pǔ tōng
普通话,pǔtōnghuà
其他,qítā
其中,qízhōng
骑,qí
骑车,qí chē
起飞,qǐfēi
气,qì
气温,qì wēn
千,qiān
千克,qiān kè
前年,qián nián
墙,qiáng
青年,qīng nián
青少年,qīngshàonián
轻,qīng
清楚,qīngchu
晴,qíng
晴天,qíng tiān
请客,qǐng kè
请求,qǐngqiú
秋天,qiū tiān
求,qiú
球场,qiú chǎng
球队,qiú duì
球鞋,qiú xié
取,qǔ
取得,qǔ dé
全,quán
全部,quánbù
全国,quán guó
全家,quán jiā
全年,quán nián
全身,quán shēn
全体,quán tǐ
然后,ránhòu
让,ràng
热情,rèqíng
人口,rénkǒu
人们,rén men
人数,rén shù
认为,rènwéi
日报,rì bào
日子,rìzi
如果,rúguǒ
入口,rùkǒu
商量,shāngliang
商人,shāng rén
上周,shàng zhōu
少数,shǎo shù
少年,shào nián
身边,shēn biān
什么样,shén me yàng
生,shēng
生词,shēng cí
生活,shēnghuó
声音,shēngyīn
省,shěng
省,shěng
十分,shífēn
实际,shíjì
实习,shíxí
实现,shíxiàn
实在,shízài
实在,shízai
食物,shíwù
使用,shǐyòng
市,shì
市长,shì zhǎng
事情,shìqing
收,shōu
收到,shōu dào
收入,shōurù
手表,shǒubiǎo
受到,shòudào
舒服,shūfu
熟,shú
数,shǔ
数字,shùzì
水平,shuǐpíng
顺利,shùnlì
说明,shuōmíng
司机,sījī
送到,sòng dào
送给,sòng gěi
算,suàn
虽然,suī rán
随便,suíbiàn
随时,suíshí
所以,suǒ yǐ
所有,suǒyǒu
它,tā
它们,tā men
太太,tàitai
太阳,tàiyáng
态度,tàidu
讨论,tǎolùn
套,tào
特别,tèbié
特点,tèdiǎn
疼,téng
提,tí
提出,tí chū
提到,tí dào
提高,tígāo
题,tí
体育,tǐyù
体育场,tǐ yù chǎng
体育馆,tǐ yù guǎn
天上,tiān shàng
条,tiáo
条件,tiáojiàn
听讲,tīng jiǎng
听说,tīng shuō
停,tíng
停车,tíng chē
停车场,tíng chē chǎng
挺,tǐng
挺好,tǐng hǎo
通,tōng
通过,tōngguò
通知,tōngzhī
同时,tóngshí
同事,tóngshì
同样,tóng yàng
头,tóu
头,tóu
头发,tóufa
图片,tú piàn
推,tuī
腿,tuǐ
外地,wài dì
外卖,wài mài
完,wán
完成,wánchéng
完全,wánquán
晚安,wǎn ān
晚报,wǎn bào
晚餐,wǎn cān
晚会,wǎn huì
碗,wǎn
万,wàn
网,wǎng
网球,wǎngqiú
网站,wǎngzhàn
往,wǎng
为,wèi
为什么,wèishénme
位,wèi
味道,wèidào
喂,wèi
温度,wēndù
闻,wén
问路,wèn lù
问题,wèntí
午餐,wǔ cān
午睡,wǔ shuì
西北,xī běi
西餐,xī cān
西方,xī fāng
西南,xī nán
西医,xī yī
习惯,xíguàn
洗衣机,xǐ yī jī
洗澡,xǐzǎo
下,xià
下雪,xià xuě
下周,xià zhōu
夏天,xià tiān
相同,xiāngtóng
相信,xiāngxìn
响,xiǎng
想到,xiǎng dào
想法,xiǎng fǎ
