Pinyin,Wade-Giles,Romatzyh
yubao,yupao,yuhbaw
yufang,yufang,yuhfarng
yuji,yuchi,yuhjih
yuxi,yuhsi,yuhshyi
yuan,yuan,yuan
yuangong,yuankung,yuangong
yuanwang,yuanwang,yuannwanq
yue,yueh,iue
yuedui,yuehtui,yuehduey
yunshu,yunshu,yunnshu
zazhi,tsachih,tzarjyh
zaoyi,tsaoi,tzaoyii
zao,tsao,tzaw
zaocheng,tsaocheng,tzawcherng
zeren,tsejen,tzerrenn
zengjia,tsengchia,tzengjia
zengzhang,tsengchang,tzengjaang
zhankai,chankai,jaankai
zhang,chang,jang
zhao,chao,jaw
zhe,che,jee
zhenshi,chenshih,jenshyr
zheng,cheng,jeng
zhengqu,chengchu,jengcheu
zheng,cheng,jeeng
zhengge,chengko,jeenggeh
zhengli,chengli,jeenglii
zhengqi,chengchi,jeengchyi
zhengti,chengti,jeengtii
zhengtian,chengtien,jeengtian
zhengzheng,chengcheng,jeengjeeng
zheng,cheng,jenq
zhengshi,chengshih,jenqshyh
zheng,cheng,jenq
zhengjian,chengchien,jenqjiann
zhengju,chengchu,jenqjiuh
zhengming,chengming,jenqming
zhi,chih,jy
zhichi,chihchih,jychyr
zhifu,chihfu,jyfuh
zhi,chih,jy
zhi,chih,jyr
zhibo,chihpo,jyrbo
zhidao,chihtao,jyrdaw
zhi,chih,jyr
zhide,chihde,jyrde
zhigong,chihkung,jyrgong
zhiye,chihyeh,jyryeh
zhihao,chihhao,jyyhao
zhishi,chihshih,jyyshyh
zhiyou,chihyu,jyyyeou
zhi,chih,jyy
zhichu,chihchu,jyychu
zhidao,chihtao,jyydao
zhijin,chihchin,jyhjin
zhishao,chihshao,jyhshao
zhiyuan,chihyuan,jyhyuann
zhiyuanzhe,chihyuanche,jyhyuannjee
zhiding,chihting,jyhdinq
zhidu,chihtu,jyhduh
zhizao,chihtsao,jyhtzaw
zhizuo,chihtso,jyhtzuoh
zhongbu,chungpu,jongbuh
zhonghuaminzu,chunghuamintsu,jonghwamintzwu
zhongyu,chungyu,jongyu
zhong,chung,jong
zhong,chung,joong
zhongzi,chungzi,joongzi
zhongda,chungta,jonqdah
zhouwei,chouwei,jouwei
zhu,chu,ju
zhuchi,chuchih,juuchyr
zhudong,chutung,juudonq
zhuren,chujen,juurenn
zhuyi,chuyi,juuyi
zhuzhang,chuchang,juujang
zhuyi,chui,juhyih
zhu,chu,juh
zhua,chua,jua
zhuazhu,chuachu,juajuh
zhuanjia,chuanchia,juanjia
zhuanmen,chuanmen,juanmen
zhuanti,chuanti,juantyi
zhuanye,chuanyeh,juanyeh
zhuan,chuan,juann
zhuanbian,chuanpien,joanbiann
zhuangkuang,chuangkuang,juanqkuanq
zhuangtai,chuangtai,juanqtay
zhun,chun,joen
zige,tzuko,tzyger
zijin,tzuchin,tzyjin
zicong,tzutsung,tzyhtsorng
zidong,tzutung,tzyhdonq
zijue,tzuchueh,tzyhjyue
ziran,tzujan,tzyhran
zishen,tzushen,tzyhshen
zizhu,tzuchu,tzyhjuu
zong,tsung,tzoong
zongjie,tsungchieh,tzoongjye
zongshi,tsungshih,tzoongshyh
zugou,tsukou,tzwugow
zuqiu,tsuchiu,tzwuchyou
zuhe,tsuho,tzuuher
zuoyou,tsoyu,tzuooyow
zuopin,tsopin,tzuohpiin
zuozhe,tsoche,tzuohjee
ayi,ai,ayi
ai,ai,ae
aixiao,aihsiao,aesheau
aiguo,aikuo,aygwo
aihu,aihu,ayhuh
an,an,an
anzhi,anchih,anjyh
anshi,anshih,annshyr
an,an,ann
anshi,anshih,annshyh
bashi,pashih,bashyh
baihuo,paihuo,baehuoh
bai,pai,bae
baidong,paitung,baedonq
baituo,paito,baetuo
bai,pai,bay
banshi,panshih,bannshyh
baoguo,paokuo,bauguoo
baohan,paohan,bauharn
baokuo,paokuo,baukuoh
bao,pao,bao
baobao,paobao,baobao
baobei,paopei,baobey
baogui,paokuei,baoguey
baoshi,paoshih,baoshyr
baomi,paomi,baomih
baoshou,paoshou,baoshoou
bao,pao,baw
beijing,peiching,beyjiing
bei,pei,bey
beipo,peipo,beypoh
benke,penko,beenke
ben,pen,benn
bifen,pifen,biifen
biye,piyeh,bihyeh
biyesheng,piyehsheng,bihyehsheng
bi,pi,bih
bimian,pimien,bihmean
bian,pien,bian
bianlun,pienlun,biannluenn
biaozhi,piaochih,biaujyh
biaoqing,piaoching,beauchyng
biaoyang,piaoyang,beauyang
bie,pieh,bye
bing,ping,bing
bingxiang,pinghsiang,bingshiang
bingxue,pinghsueh,bingsheue
bing,ping,bing
bing,ping,binq
buguan,pukuan,buhgoan
buran,pujan,buhran
buzhi,puchih,buhjyh
buxing,puhsing,buhshyng
ca,tsa,tsa
cai,tsai,tsair
cailiao,tsailiao,tsairliaw
caichan,tsaichan,tsairchaan
caifu,tsaifu,tsairfuh
caifang,tsaifang,tsaefaang
cankao,tsankao,tsankao
canyu,tsanyu,tsanyuh
caochang,tsaochang,tsauchaang
caozuo,tsaotso,tsautzuoh
ce,tse,tseh
celiang,tseliang,tsehliang
ceshi,tseshih,tsehshyh
ceng,tseng,tserng
chaye,chayeh,charyeh
chanpin,chanpin,chaanpiin
changtu,changtu,charngtwu
changshi,changshih,charngshyr
changpian,changpien,chanqpiann
chao,chao,chau
chaoxie,chaohsieh,chaushiee
chao,chao,chaur
chaoliu,chaoliu,chaurliou
chaoshi,chaoshih,chaurshy
chedi,cheti,chehdii
chen,chen,chern
chenmo,chenmo,chernmoh
chenzhong,chenchung,chernjonq
chengzan,chengtsan,chengtzann
chengren,chengjen,cherngren
chengshi,chengshih,cherngshyr
chengxin,chenghsin,cherngshinn
chengdan,chengtan,cherngdan
chengren,chengjen,cherngrenn
chengshou,chengshou,cherngshow
chengxu,chenghsu,cherngshiuh
chijing,chihching,chyjing
chidao,chihtao,chyrdaw
chizi,chihzi,chyyzi
chong,chung,chong
chongdian,chungtien,chongdiann
chongdianqi,chungtienchi,chongdiannchih
chongfen,chungfen,chongfenn
chongzi,chungzi,chorngzi
chou,chou,chou
choujiang,chouchiang,choujeang
chouyan,chouyan,chouian
chukou,chukou,chukoou
chuse,chuse,chuseh
chushou,chushou,chushow
chuxi,chuhsi,chushyi
chuyu,chuyu,chuuyu
chu,chu,chuu
chuantong,chuantung,chwantoong
chuanghu,chuanghu,chuanghu
chuangtai,chuangtai,chuangtair
chuangzi,chuangzi,chuangzi
chunji,chunchi,chuenjih
chun,chun,chwen
chunjingshui,chunchingshui,chwenjinqshoei
cihui,tzuhui,tsyrhuey
ci,tzu,tsyy
ciwai,tzuwai,tsyyway
ci,tzu,tsyh
ci,tzu,tsyh
ciji,tzuchi,tsyhji
congci,tsungtzu,tsorngtsyy
cu,tsu,tsu
cuxin,tsuhsin,tsushin
cujin,tsuchin,tsuhjinn
cushi,tsushih,tsuhshyy
cuxiao,tsuhsiao,tsuhshiau
cuoshi,tsoshih,tsuohshy
da’an,taan,darann
dabai,tapai,daabay
dalei,talei,daalei
dasao,tasao,daasao
dazhe,tache,daajer
dazhen,tachen,daajen
daba,tapa,dahba
daduo,tato,dahduo
dage,tako,dahge
daguimo,takueimo,dahgueimo
dahui,tahui,dahhuey
dajie,tachieh,dahjiee
dalou,talou,dahlou
dalu,talu,dahluh
dama,tama,dahmha
daxing,tahsing,dahshyng
dazhong,tachung,dahjonq
daiti,taiti,daytih
daiyu,taiyu,dayyuh
dai,tai,day
dai,tai,day
danbao,tanpao,danbao
danren,tanjen,danrenn
danxin,tanhsin,danshin
dan,tan,dan
danchun,tanchun,danchwen
dandiao,tantiao,dandiaw
dandu,tantu,dandwu
dan,tan,dann
daoyou,taoyu,daoyou
daozhi,taochih,daojyh
daobi,taopi,daobih
daoche,taoche,daoche
deyi,tei,deryih
dengguang,tengkuang,dengguang
deng,teng,deng
dengji,tengchi,dengjih
denglu,tenglu,dengluh
dengshan,tengshan,dengshan
dique,tichueh,dyichiueh
diren,tijen,dyiren
dimian,timien,dihmiann
diwei,tiwei,dihwey
dixia,tihsia,dihshiah
dizhi,tichih,dihjyy
dianxing,tienhsing,deanshyng
dianming,tienming,deanming
diandeng,tienteng,dianndeng
diandongche,diandongche,diandongche
dianti,tienti,diannti
dianyuan,tienyuan,diannyuan
ding,ting,diing
ding,ting,dinq
dongji,tungchi,dongjih
donghuapian,tunghuapien,donqhuahpiann
dongyao,tungyao,donqyau
doufu,toufu,dowfu
duli,tuli,dwulih
dute,tute,dwuteh
duzi,tutzu,dwutzyh
du,tu,duu
duche,tuche,duuche
duzi,tuzi,duhzi
duguo,tukuo,duhguoh
duanlian,tuanlien,duannliann
duibi,tuipi,dueybii
duifu,tuifu,dueyfu
duiyu,tuiyu,dueyyu
duoci,totzu,duotsyh
duonian,tonien,duonian
duoyang,toyang,duoyanq
duozhong,tochung,duojoong
ertong,erhtung,erltorng
er,erh,erl
ershi,erhshih,erlshyh
erji,erhchi,eelji
ershou,erhshou,ellshoou
fahui,fahui,fahuei
fapiao,fapiao,fapiaw
fashao,fashao,fashau
fa,fa,faa
faguan,fakuan,faaguan
fayuan,fayuan,faayuann
fan,fan,fan
fanyi,fani,fanyih
fan,fan,farn
fan,fan,faan
fan’er,fanerh,faanerl
fanying,fanying,faanyinq
fang,fang,fang
fang’an,fangan,fangann
fangzhen,fangchen,fangjen
fangsong,fangsung,fanqsong
fei,fei,fei
fei,fei,feir
fenbu,fenpu,fenbuh
fensan,fensan,fensann
fenshou,fenshou,fenshoou
fenwei,fenwei,fenwei
…fenzhi…,…fenchih…,…fenjy…
fenfen,fenfen,fenfen
fendou,fentou,fenndow
fengge,fengko,fengger
fengjing,fengching,fengjiing
fengsu,fengsu,fengswu
fengbi,fengpi,fengbih
fouze,foutse,fooutzer
fufu,fufu,fufuh
fuqi,fuchi,fuchi
fuhao,fuhao,fwuhaw
fuhe,fuho,fwuher
fuchu,fuchu,fuhchu
fudan,futan,fuhdan
fujin,fuchin,fuhjinn
fuzhi,fuchih,fuhjyh
gaishan,kaishan,gaeshann
gaizheng,kaicheng,gaejenq
gai,kai,gay
gaikuo,kaikuo,gaykuoh
ganxingqu,kanhsingchu,gaanshinqchiuh
gaochao,kaochao,gauchaur
gaojia,kaochia,gaujiah
gaoshang,kaoshang,gaushanq
gaotie,kaotieh,gautiee
gewai,kowai,gerway
ge,ko,ger
gekai,kokai,gerkai
gebie,kopieh,gehbye
geti,koti,gehtii
gege,koko,gehgeh
gen,ken,gen
genju,kenchu,genjiuh
gongcheng,kungcheng,gongcherng
gongyuan,kungyuan,gongyuan
gongying,kungying,gongyinq
gong,kung,gonq
goucheng,koucheng,gowcherng
gouzao,koutsao,gowtzaw
goumai,koumai,gowmae
gouwu,kouwu,gowwuh
gutou,kutou,guutou
guding,kuting,guhdinq
gua,kua,gua
guai,kuai,guay
guan,kuan,guan
guanbi,kuanpi,guanbih
guanyu,kuanyu,guanyu
guan,kuan,guan
guanfang,kuanfang,guanfang
guanglin,kuanglin,guanglin
guangpan,kuangpan,guangparn
guang,kuang,guanq
gui,kuei,guei
guimo,kueimo,gueimo
guize,kueitse,gueitzer
guoshi,kuoshih,guooshyr
guofen,kuofen,guohfenn
haishui,haishui,haeshoei
haixian,haihsien,haeshian
han,han,harn
hanliang,hanliang,harnlianq
hanyi,hani,harnyih
hanyou,hanyu,harnyeou
hanjia,hanchia,harnjiah
hanleng,hanleng,harnleeng
hangye,hangyeh,harngyeh
hangban,hangpan,harngban
hangkong,hangkung,harngkong
haomi,haomi,haurmii
haosheng,haosheng,haursheng
haoyou,haoyu,haoyeou
haoma,haoma,hawmaa
hao,hao,hao
hetong,hotong,hertong
heian,heian,heiann
hongbao,hungpao,horngbau
houtou,houtou,howtou
hou,hou,how
huxi,huhsi,hushi
hushi,hushih,hushyh
hu,hu,huh
hushi,hushi,huhshi
hua,hua,hua
hua,hua,hwa
hua,hua,huah
huainian,huainien,hwainiann
huaiyi,huaii,hwaiyi
huanjie,huanchieh,hoanjiee
huanggua,huangkua,hwanggua
huangjin,huangchin,hwangjin
huifu,huifu,hweifuh
hui,hui,huey
huibao,huipao,hueybaw
hunli,hunli,huenlii
huo,huo,huoo
huo,huo,huoo
huoban,huopan,huoobann
huoxu,huohsu,huohsheu
huo,huo,huoh
huo,huo,huoh
huode,huote,huohder
huojiang,huochiang,huohjeang
huoqu,huochu,huohcheu
jihu,chihu,jihu
jigou,chikou,jigow
jiyu,chiyu,jiyuh
jilei,chilei,jileei
jidong,chitung,jidonq
jilie,chilieh,jilieh
jige,chiko,jyiger
ji,chi,jyi
jiqi,chichi,jyichyi
jijiang,chichiang,jyijiang
jimang,chimang,jyimang
jihe,chiho,jyiher
jizai,chitsai,jihtzae
jiqiao,chichiao,jihcheau
xi,hsi,shih
ji,chi,jih
jidu,chitu,jihduh
jijie,chichieh,jihjye
ji,chi,jih
jiran,chijan,jihran
ji,chi,jih
jiaban,chiapan,jiaban
jiaru,chiaju,jiaruh
jiayouzhan,chiayuchan,jiayoujann
jiawu,chiawu,jiawuh
jiaru,chiaju,jearu
jiangu,chienku,jianguh
jiance,chientse,jeantseh
jian,chien,jean
jianfei,chienfei,jeanfeir
jianshao,chienshao,jeanshao
jianli,chienli,jeanlih
jianshen,chienshen,jiannshen
jianjian,chienchien,jiannjiann
jiang,chiang,jiang
jiangjiu,chiangjiu,jeangjiu
jiangzuo,chiangtso,jeangtzuoh
jiang,chiang,jeang
jiangjin,chiangchin,jeangjin
jiangxuejin,chianghsuehchin,jeangshyuejin
jiang,chiang,jianq
jiangdi,chiangti,jianqdi
jiangjia,chiangchia,jianqjiah
jiangluo,chianglo,jianqluoh
jiangwen,chiangwen,jianquen
jiaohuan,chiaohuan,jiauhuann
jiaoji,chiaochi,jiaujih
jiaoshou,chiaoshou,jiawshow
jieduan,chiehtuan,jieduann
jiedao,chiehtao,jiedaw
jiesheng,chiehsheng,jyesheeng
jie,chieh,jye
jiegou,chiehkou,jyegow
jielun,chiehlun,jyeluenn
jiemei,chiehmei,jieemey
jieshi,chiehshih,jieeshyh
jinkuai,chinkuai,jiinkuay
jinmi,chinmi,jiinmih
jinli,chinli,jinnlih
jinkou,chinkou,jinnkoou
jindai,chintai,jinnday
jinzhi,chinchih,jinnjyy
jingdian,chingtien,jingdean
jingli,chingli,jinglih
jingran,chingjan,jinqran
jingtou,chingtou,jinqtour
jingzi,chingzi,jinqzi
jiujing,chiuching,jioujinq
jiuba,chiupa,jeouba
jumin,chumin,jiumin
juzhu,chuchu,jiujuh
ju,chu,jyu
juda,chuta,jiuhdah
jubei,chupei,jiuhbey
juli,chuli,jiuhli
ju,chu,jiuh
juhui,chuhui,jiuhhuey
juan,chuan,jeuan
juese,chuehse,jyueseh
kaihua,kaihua,kaihua
kaishui,kaishui,kaishoei
kanbuqi,kanbuchi,kannbuchii
kanwang,kanwang,kannwanq
kaocha,kaocha,kaochar
ke,ko,ke
kejian,kochien,keejiann
kongjian,kungchien,kongjian
kong,kung,kong
koudai,koutai,koouday
kouyu,kouyu,koouyeu
ku,ku,kuu
kuaiji,kuaichi,kuayjih
kuaidi,kuaiti,kuaydih
kuan,kuan,kuan
kuanguang,kuankuang,kuangoang
kuangquanshui,kuangchuanshui,kuanqchyuanshoei
kuoda,kuota,kuohdah
kuozhan,kuochan,kuohjaan
kuohao,kuohao,kuohhaw
laji,lachi,lhaji
lakai,lakai,lhakai
la,la,lah
laibuji,laibuchi,laibujyi
laideji,laidechi,laidejyi
laiyuan,laiyuan,laiyuan
laogong,laokung,laogong
laojia,laochia,laojia
laopo,laopo,laopor
laoshi,laoshi,laoshi
lequ,lechu,lehchiuh
lei,lei,ley
leishui,leishui,leyshoei
leixing,leihsing,leyshyng
lengjing,lengching,leengjinq
limi,limi,limii
liqi,liqi,lihqi
lishi,lishih,lihshyy
liji,lichi,lihjyi
lixi,lihsi,lihshi
liyi,lii,lihyih
lia,lia,lea
lianghao,lianghao,lianghao
liang,liang,liang
liangshi,liangshi,liangshi
liaoyang,liaoyang,liauyeang
liaobuqi,liaobuchi,leaubuchii
liaojie,liaochieh,leaujiee
lie,lieh,lieh
lieche,liehche,liehche
lieru,liehju,liehruh
liewei,liehwei,liehwei
linshi,linshih,linshyr
lingshi,lingshih,lingshyr
liuchuan,liuchuan,liouchwan
louti,louti,louti
ludi,luti,luhdih
luxu,luhsu,luhshiuh
luqu,luchu,luhcheu
lun,lun,luen
lunchuan,lunchuan,luenchwan
lunyi,luni,luenyii
lunzi,lunzi,luenzi
lunwen,lunwen,luennwen
maojin,maochin,maujin
maoyi,maoi,maui
maozi,maozi,mawzi
meicuo,meitso,meitsuoh
meixiangdao,meihsiangtao,meisheangdaw
meijin,meichin,meeijin
meng,meng,menq
mengjian,mengchien,menqjiann
mengxiang,menghsiang,menqsheang
mimi,mimi,mihmih
mishu,mishu,mihshu
mi,mi,mih
mima,mima,mihmaa
miqie,michieh,mihchieh
mianfei,mienfei,meanfey
mianlin,mienlin,miannlin
mianshi,mienshih,miannshyh
miaoshu,miaoshu,miaushuh
miaoxie,miaohsieh,miaushiee
mingpian,mingpien,mingpiann
mingren,mingjen,mingren
mo,mo,mho
moter,moter,motehr
moxing,mohsing,moshyng
mo,mo,moh
momo,momo,mohmoh
napa,napa,naapah
na,na,naa
nanshi,nanshih,nanshyh
nanmian,nanmien,nanmean
naodai,naodai,naodai
nao,nao,naw
naozhong,naochung,nawjong
neibu,neipu,neybuh
neike,neiko,neyke
nenggan,nengkan,nenggann
ningjing,ningching,ningjinq
nong,nung,nong
nuanqi,nuanchi,noanchih
paizhao,paichao,paijaw
pailie,pailieh,pairlieh
pai,pai,pair
pan,pan,parn
panzi,panzi,parnzi
pangzi,pangzi,panqzi
peixun,peihsun,peirshiunn
peixunban,peihsunpan,peirshiunnban
peiyang,peiyang,peiryeang
peiyu,peiyu,peiryuh
pi,pi,pi
pi,pi,pi
pianmian,pienmien,piannmiann
pinzhi,pinchih,piinjyh
pingfang,pingfang,pyngfang
pingjing,pingching,pyngjinq
pingjun,pingchun,pyngjiun
pingwen,pingwen,pyngwoen
poqie,pochieh,pohchieh
pochan,pochan,pohchaan
qidai,chitai,chiday
qijian,chichien,chijian
qimo,chimo,chimoh
qixian,chihsien,chishiann
qizhong,chichung,chijong
qiyu,chiyu,chyiyu
qiye,chiyeh,chiiyeh
qiqiu,chichiu,chihchyou
qishui,chishui,chihshoei
qiyou,chiyu,chihyou
qiguan,chikuan,chihguan
qiantou,chientou,chyantou
qiantu,chientu,chyantwu
qiaokeli,chiaokoli,cheaukehlih
qie,chieh,chie
qin’ai,chinai,chinay
qinmi,chinmi,chinmih
qingchun,chingchun,chingchuen
qingsong,chingsung,chingsong
qingyi,chingi,chingyih
qingxing,chinghsing,chingshiing
qingjing,chingching,chyngjiing
qiong,chiung,chyong
qiongren,chiungjen,chyongren
qiuji,chiuchi,chioujih
qushi,chushih,chiushyh
quanli,chuanli,chyuanlih
que,chueh,chiueh
queren,chuehjen,chiuehrenn
ran’er,janerh,ranerl
ranliao,janliao,ranliaw
ranshao,janshao,ranshau
renao,jenao,rehnao
rexin,jehsin,rehshin
renjia,jenchia,renjia
riji,jihchi,ryhjih
rili,jihli,ryhlih
rujin,juchin,rujin
ruo,jo,ruoh
san,san,saan
san,san,sann
sao,sao,sao
se,se,seh
secai,setsai,sehtsae
senlin,senlin,senlin
shai,shai,shay
shan,shan,shaan
shandian,shantien,shaandiann
shanliang,shanliang,shannliang
shanyu,shanyu,shannyu
shanghai,shanghai,shanghay
shangwu,shangwu,shangwuh
shang,shang,shaang
shanggeyue,shangkoyueh,shanqgehyueh
shanglou,shanglou,shanqlou
shangmen,shangmen,shanqmen
shao,shao,shau
sheshi,sheshih,shehshy
shezhi,shechih,shehjyh
shenqing,shenching,shenchiing
shencai,shentsai,shentsair
shenfen,shenfen,shenfenn
shengao,shenkao,shengau
shenhou,shenhou,shenhow
shenhua,shenhua,shernhuah
shenmi,shenmi,shernmih
shenzhi,shenchih,shennjyh
shibai,shihpai,shybay
shiwang,shihwang,shywanq
shiye,shihyeh,shyyeh
shi,shih,shy
shiren,shihjen,shyren
shi,shih,shy
shishi,shihshih,shyrshy
shiyong,shihyung,shyryonq
shitang,shihtang,shyrtarng
shijin,shihchin,shyyjinn
shibing,shihping,shyhbing
shiqu,shihchu,shyhchiu
shide,shihde,shyhde
shiwu,shihwu,shyhwuh
shixian,shihhsien,shyhshian
shijuan,shihchuan,shyhjiuann
shifou,shihfou,shyhfoou
shouhui,shouhui,shouhwei
shouhuo,shouhuo,shouhuoh
shouyi,shoui,shouyih
shougong,shoukung,shoougong
shouli,shouli,shooulii
shoushu,shoushu,shooushuh
shoutao,shoutao,shooutaw
shou,shou,shoou
shou,shou,shoou
shouhuoyuan,shouhuoyuan,showhuohyuan
shushu,shushu,shushu
shushi,shushih,shushyh
shulian,shulien,shwuliann
shujia,shuchia,shuujiah
shulin,shulin,shuhlin
shuye,shuyeh,shuhyeh
shuju,shuchu,shuhjiuh
shuma,shuma,shuhmaa
shua,shua,shua
shuaya,shuaya,shuaya
shuazi,shuazi,shuazi
shuai,shuai,shuay
shuaige,shuaiko,shuayge
shuaixian,shuaihsien,shuayshian
shuizhao,shuichao,shueyjaur
shunxu,shunhsu,shuennshiuh
shuobuding,shuobuting,shuobudinq
shuofu,shuofu,shuofwu
sikao,ssukao,sykao
sihu,ssuhu,syhhu
song,sung,song
songshu,sungshu,songshuh
suliao,suliao,suhliaw
suliaodai,suliaotai,suhliawday
suan,suan,suan
suannai,suannai,suannae
suishou,suishou,sweishoou
suoduan,sotuan,suodoan
suoxiao,sohsiao,suosheau
taijie,taichieh,tairjie
taishang,taishang,tairshanq
tang,tang,taang
taocan,taotsan,tawtsan
tejia,techia,tehjiah
teshu,teshu,tehshu
tezheng,techeng,tehjeng
tigong,tikung,tyigong
tixing,tihsing,tyishiing
ticao,titsao,tiitsau
tijian,tichien,tiijean
tizhong,tichung,tiijonq
ti,ti,tih
tidai,titai,tihday
tianzhen,tienchen,tianjen
tian,tien,tyan
tiankong,tienkung,tyankonq
tiao,tiao,tiau
tiaoxuan,tiaohsuan,tiausheuan
tiaopi,tiaopi,tyaupyi
tiaozhan,tiaochan,teaujann
tie,tieh,tie
tingxia,tinghsia,tyngshiah
ting,ting,tiing
tongzhishu,tungchihshu,tongjyshu
tongqing,tungching,torngchyng
tonghua,tunghua,tornghuah
tongnian,tungnien,torngnian
tongji,tungchi,toongjih
tongyi,tungi,toongi
tongkuai,tungkuai,tonqkuay
tou,tou,tour
touru,touju,tourruh
tousu,tousu,toursuh
touzi,toutzu,tourtzy
tou,tou,tow
touming,touming,towming
tu’an,tuan,twuann
tuzhong,tuchung,twujong
tudi,tuti,tuudih
tuichi,tuichih,tueichyr
tuixiao,tuihsiao,tueishiau
tuo,to,tuo
wazi,wazi,wahzi
waihui,waihui,wayhuey
waijiaoguan,waichiaokuan,wayjiauguan
waitao,waitao,waytaw
wan,wan,uan
wandian,wantien,woandean
wanyi,wani,wanni
wang,wang,wang
wangluo,wanglo,woangluoh
wangzhi,wangchih,woangjyy
weixiao,weihsiao,ueishiaw
weixin,weihsin,ueishinn
weijin,weichin,weijin
weichi,weichih,weichyr
weihu,weihu,weihuh
weixiu,weihsiu,weishiou
weiba,weiba,woeiba
weibi,weipi,weybih
weilai,weilai,weylai
weiyu,weiyu,weyyu
weir,weir,weyr
wei,wei,wey
wen,wen,woen
wending,wenting,woendinq
wenhou,wenhou,wennhow
wu,wu,wu
wufa,wufa,wufaa
wuliao,wuliao,wuliau
wulun,wulun,wuluenn
wushu,wushu,wushuh
wusuowei,wusowei,wusuoowey
wuxian,wuhsien,wushiann
wuyanliuse,wuyanliuse,wuuyanliowseh
wuhui,wuhui,wuhhuey
xigua,hsikua,shigua
xi,hsi,shi
xiguan,hsikuan,shigoan
xishou,hsishou,shishou
xiyan,hsiyan,shiian
xiyin,hsiyin,shiyiin
xiai,hsiai,shiiay
xilie,hsilieh,shihlieh
xitong,hsitung,shihtoong
xi,hsi,shih
xijie,hsichieh,shihjye
xizhi,hsichih,shihjyh
xiageyue,hsiakoyueh,shiahgehyueh
xiajiang,hsiachiang,shiahjianq
xialou,hsialou,shiahlou
xiaji,hsiachi,shiahjih
xian,hsien,shian
xianhua,hsienhua,shianhua
xianming,hsienming,shianming
xian,hsien,shyan
xianzhu,hsienchu,sheanjuh
xian,hsien,shiann
xianzhi,hsienchih,shiannjyh
xiangchu,hsiangchu,shiangchuu
xiangfan,hsiangfan,shiangfaan
xiang,hsiang,shiang
xiangzi,hsiangzi,shiangzi
xiangnian,hsiangnien,sheangniann
xiangxiang,hsianghsiang,sheangshianq
xiang,hsiang,shianq
xiangmu,hsiangmu,shianqmuh
xiangpian,hsiangpien,shianqpiann
xiaohua,hsiaohua,shiauhuah
xiaoshou,hsiaoshou,shiaushow
xiaochi,hsiaochih,sheauchy
xiaohuozi,hsiaohuozi,sheauhuoozi
xiaoxing,hsiaohsing,sheaushyng
xie,hsieh,shie
xinli,hsinli,shinlii
xinlang,hsinlang,shinlang
xinniang,hsinniang,shinniang
xinxian,hsinhsien,shinshian
xinxing,hsinhsing,shinshyng
xingfen,hsingfen,shingfenn
xingrong,hsingjung,shyngrong
xingshi,hsingshih,shyngshyh
xing,hsing,shyng
xinghao,hsinghao,shynghaw
xing,hsing,shiing
xingqu,hsingchu,shinqchiuh
xingzhi,hsingchih,shinqjyh
xiongdi,hsiungti,shiongdih
xiongbu,hsiungpu,shiongbuh
xiuli,hsiuli,shioulii
xuanze,hsuantse,sheuantzer
xuefen,hsuehfen,shyuefen
xuenian,hsuehnien,shyuenian
xueshi,hsuehshih,shyueshyr
xueshu,hsuehshu,shyueshuh
xunzhao,hsunchao,shyunjao
xunsu,hsunsu,shiunnsuh
ya,ya,ya
yashua,yashua,yashua
yayunhui,yayunhui,yahyunnhuey
ya,ya,ya
yanchang,yanchang,yancharng
yanqi,yanchi,yanchi
yanxu,yanhsu,yanshiuh
yan,yan,yan
yange,yanko,yanger
yanzhong,yanchung,yanjonq
yanjiu,yanchiu,yanjiou
yanjiusheng,yanchiusheng,yanjiousheng
yanzhi,yanchih,yanjyh
yan,yan,yan
yanjing,yanching,yeanjinq
yanlei,yanlei,yeanley
yanjiang,yanchiang,yeanjeang
yangtai,yangtai,yangtair
yangcheng,yangcheng,yeangcherng
yao,yao,iau
yao,yao,yau
yaowu,yaowu,yawwuh
yao,yao,yaw
yeyu,yehyu,yehyu
yezi,yehzi,yehzi
yiliao,iliao,iliau
yixue,ihsueh,ishyue
yikao,ikao,ikaw
yiran,ijan,iran
yi,i,yi
yidong,itung,yidonq
yimin,imin,yimin
yichan,ichan,yichaan
yichuan,ichuan,yichwan
yiwen,iwen,yiwenn
yiji,ichi,yiijyi
yinei,inei,yiiney
yiwu,iwu,yihwuh
yilun,ilun,yihluenn
yin,yin,yiin
yindao,yintao,yiindao
yinjin,yinchin,yiinjinn
yinqi,yinchi,yiinchii
ying,ying,ing
yingyong,yingyung,ingyeong
yingye,yingyeh,yngyeh
yingde,yingte,yngder
yingzi,yingzi,yiingzi
yonggan,yungkan,yeonggaan
yongqi,yungchi,yeongchih
yongtu,yungtu,yonqtwu
youliang,yuliang,iouliang
youmei,yumei,ioumeei
youxiu,yuhsiu,ioushiow
youju,yuchu,youjyu
youqu,yuchu,yeouchiuh
youxian,yuhsien,yeoushiann
you’eryuan,yuerhyuan,yowerlyuan
yushi,yushih,yushyh
yufa,yufa,yeufaa
yuyin,yuyin,yeuin
yu,yu,yuh
yumi,yumi,yuhmii
yuce,yutse,yuhtseh
yuding,yuting,yuhdinq
yu,yu,yuh
yudao,yutao,yuhdaw
yujian,yuchien,yuhjiann
yuanliao,yuanliao,yuanliaw
yuanze,yuantse,yuantzer
