Pinyin,Wade-Giles,Romatzyh
zuotian,tsotien,tzwotian
zuo,tso,tzuoo
zuobian,tsobian,tzuoobian
zuo,tso,tzuoh
aiqing,aiching,aychyng
anjing,anching,anjinq
anquan,anchuan,anchyuan
baise,paise,bairseh
banzhang,panchang,banjaang
ban,pan,bann
banfa,panfa,bannfaa
bangongshi,pankungshih,banngongshyh
banye,panyeh,bannyeh
bangzhu,pangchu,bangjuh
bao,pao,bao
baoming,paoming,bawming
baozhi,paochih,bawjyy
beifang,peifang,beeifang
bei,pei,bei
biru,piju,biiru
birushuo,pijushuo,biirushuo
bi,pi,bii
biji,pichi,biijih
bijiben,pichipen,biijihbeen
bixu,pihsu,bihshiu
bian,pien,bian
bian,pien,biann
biancheng,piencheng,bianncherng
bian,pien,biann
biao,piao,beau
biaoshi,piaoshih,beaushyh
bujiu,puchiu,buhjeou
buman,puman,buhmaan
buru,puju,buhru
bushao,pushao,buhshao
butong,putung,buhtorng
buxing,puhsing,buhshyng
buyiding,puiting,buhidinq
bufen,pufen,buhfen
cai,tsai,tsair
caidan,tsaitan,tsaydan
canguan,tsankuan,tsanguan
canjia,tsanchia,tsanjia
cao,tsao,tsao
caodi,tsaoti,tsaodih
ceng,tseng,tserng
cha,cha,char
chabuduo,chabuto,chahbuduo
chang,chang,charng
changjian,changchien,charngjiann
changyong,changyung,charngyonq
chaoguo,chaokuo,chauguoh
chaoshi,chaoshih,chaushyh
cheliang,cheliang,chelianq
cheng,cheng,cheng
cheng,cheng,cherng
chengji,chengchi,cherngjih
chengwei,chengwei,cherngwei
chongfu,chungfu,chorngfuh
chongxin,chunghsin,chorngshin
chufa,chufa,chufa
chuguo,chukuo,chugwo
chukou,chukou,chukoou
chumen,chumen,chumen
chusheng,chusheng,chusheng
chuxian,chuhsien,chushiann
chuyuan,chuyuan,chuyuann
chuzu,chutsu,chutzu
chuzuche,chutsuche,chutzuche
chuan,chuan,chwan
chui,chui,chuei
chunjie,chunchieh,chuenjye
chuntian,chuntien,chuentian
ci,tzu,tsyr
cidian,tzutien,tsyrdean
ciyu,tzuyu,tsyryeu
congxiao,tsunghsiao,tsorngsheau
daying,taying,daying
dagong,takung,daagong
dasuan,tasuan,daasuann
dayin,tayin,daayinn
dada,tata,dahdah
daduoshu,tatoshu,dahduoshuh
dahai,tahai,dahhae
dajia,tachia,dahjia
daliang,taliang,dahlianq
damen,tamen,dahmen
dasheng,tasheng,dahsheng
daxiao,tahsiao,dahsheau
dayi,tai,dahi
daziran,tatzujan,dahtzyhran
dai,tai,day
dailai,tailai,daylai
danwei,tanwei,danwey
dan,tan,dann
danshi,tanshih,dannshyh
dan,tan,dann
dang,tang,dang
dangshi,tangshih,dangshyr
dao,tao,dao
daochu,taochu,dawchuh
dao,tao,daw
dao,tao,daw
daolu,taolu,dawluh
de,te,der
dechu,techu,derchu
dehua,dehua,dehuah
de,de,de
deng,teng,deng
deng,teng,deeng
dengdao,tengtao,deengdaw
dengyu,tengyu,deengyu
di,ti,di
diqiu,tichiu,dihchyou
ditie,titieh,dihtiee
ditiezhan,titiehchan,dihtieejann
diantou,tientou,deantour
dian,tien,diann
diao,tiao,diaw
dongbei,tungpei,dongbeei
dongfang,tungfang,dongfang
dongnan,tungnan,dongnan
dongtian,tungtien,dongtian
dong,tung,doong
dongde,tungde,doongde
dongwu,tungwu,donqwuh
dongwuyuan,tungwuyuan,donqwuhyuan
duyin,tuyin,dwuin
du,tu,duh
duan,tuan,doan
duanxin,tuanhsin,doanshinn
duan,tuan,duann
dui,tui,duey
duizhang,tuichang,dueyjaang
dui,tui,duey
duihua,tuihua,dueyhuah
duimian,tuimien,dueymiann
duo,to,duo
duojiu,tochiu,duojeou
duome,tome,duome
duoshu,toshu,duoshuh
duoyun,toyun,duoyun
erqie,erhchieh,erlchiee
fa,fa,fa
faxian,fahsien,fashiann
fanguan,fankuan,fanngoan
fangbian,fangpien,fangbiann
fangbianmian,fangpienmien,fangbiannmiann
fangfa,fangfa,fangfaa
fangmian,fangmien,fangmiann
fangxiang,fanghsiang,fangshianq
fangxia,fanghsia,fanqshiah
fangxin,fanghsin,fanqshin
fen,fen,fen
fenkai,fenkai,fenkai
fenshu,fenshu,fenshuh
fenzhong,fenchung,fenjong
fen,fen,fenn
feng,feng,feng
fuwu,fuwu,fwuwuh
fuxi,fuhsi,fuhshyi
gai,kai,gai
gai,kai,gae
gaibian,kaipien,gaebiann
ganbei,kanpei,ganbei
gandao,kantao,gaandaw
gandong,kantung,gaandonq
ganjue,kanchueh,gaanjyue
ganxie,kanhsieh,gaanshieh
ganhuor,kanhuor,gannhwor
gang,kang,gang
gangcai,kangtsai,gangtsair
gaoji,kaochi,gaujyi
gaozhong,kaochung,gaujong
gezi,kozi,gehzi
