Слова HSK1,Иероглиф,Цифровое обозначение тонов,Перевод,,,,,,
93,谁,шэ2й,кто,кого,чей,,,,
94,什么,шэ2нмэ5,что?,что такое?,какой?,как?,,,
95,十,ши2,десять,десятый,,,,,
,时,ши2,час(астрономический),,,,,,
,候,хоу2,,,,,,,
96,时候,ши2 хоу5,время,промежуток,времени,во время,,,
97,是,ши4,есть,быть,являться,да,правда,,
98,书,шу1 ,книга,,,,,,
99,水,шуэй3,вода,водяной,гидро-,,,,
100,水果,шуэй3 гуо3,фрукты,фруктовый,,,,,
,睡,шуэй4,,,,,,,
,觉,дзиао4,,,,,,,
101,睡觉,шуэй4 дзиао4,спать,,,,,,
,说,шуо1,,,,,,,
,话,хуа4,,,,,,,
102,说话,шуо1хуа4,говорить,разговаривать,,,,,
103,四,сы4,четыре,четвертый,,,,,
104,岁,суэй4,годы,лета,,,,,
105,他,тха1,он,его,,,,,
106,她,тха1,она,ее,,,,,
107,太,тхаи4,слишком,чересчур,чрезвычайно,,,,
108,天气,тьен1тьси4,погода,климат,,,,,
109,听,тхинъ1,слушать,,,,,,
,同,тунъ2 сюэ3,,,,,,,
,学,сюэ2,,,,,,,
110,同学,тунъ2 сюэ2,соученик,однокашник,,,,,
111,喂,вэй4,кормить,алло!,эй!,,,,
112,我,во3,я,мой,наш,,,,
113,我们,во3мэн5,мы,наш,,,,,
114,五,ву3,пять,пятый,,,,,
,喜,си3,,,,,,,
,欢,хуан1,,,,,,,
115,喜欢,си3 хуан,нравиться,любить,,,,,
116,下,сья4 ,нижний,низ,послелог под,при,следующий,,
117,下午,сья4 ву3,вторая половина дня,после полудня,,,,,
118,下雨,сья4 йю3,идет дождь,стоит дождливая погода,,,,,
,先,сьенъ1,,,,,,,
,生,шэнъ1,,,,,,,
119,先生,сьен1 шэнъ,господин,мистер,,,,,
,现,сьен4,,,,,,,
,在,дзай4,,,,,,,
120,现在,сьен4дзай4,теперь,сейчас,ныне,,,,
,想,сьянъ3,думать,собираться,хотеть,,,,
122,小,сьяо3,маленький,мелкий,малый,молодой,младший,,
123,小姐,сьяо3 дзье5,барышня,мисс,,,,,
124,些,сье1,немного,несколько,,,,,
125,写,сье3,писать,записывать,описывать,,,,
126,谢谢,сье4сье4,спасибо,благодарю,благодарить,,,,
,星,синъ1,,,,,,,
,期,тьси1,,,,,,,
127,星期,синъ1 тьси1,неделя,,,,,,
