Chinese,Pinyin,Wade-Giles,Romatzyh
吸收,xīshōu,hsi¹ shou¹,shi shou
吸烟,xī yān,hsi¹ yan¹,shi ian
吸引,xīyǐn,hsi¹ yin³,shi yiin
喜爱,xǐ ài,hsi³ ai⁴,shii ay
系列,xìliè,hsi⁴ lieh⁴,shih lieh
系统,xìtǒng,hsi⁴ t'ung³,shih toong
细,xì,hsi⁴,shih
细节,xìjié,hsi⁴ chieh²,shih jye
细致,xìzhì,hsi⁴ chih⁴,shih jyh
下个月,xià gè yuè,hsia⁴ ko⁴ yüeh⁴,shiah geh yueh
下降,xià jiàng,hsia⁴ chiang⁴,shiah jianq
下楼,xià lóu,hsia⁴ lou²,shiah lou
夏季,xià jì,hsia⁴ chi⁴,shiah jih
鲜,xiān,hsien¹,shian
鲜花,xiān huā,hsien¹ hua¹,shian hua
鲜明,xiānmíng,hsien¹ ming²,shian ming
咸,xián,hsien²,shyan
显著,xiǎnzhù,hsien³ chu⁴,shean juh
县,xiàn,hsien⁴,shiann
限制,xiànzhì,hsien⁴ chih⁴,shiann jyh
相处,xiāngchǔ,hsiang¹ ch'u³,shiang chuu
相反,xiāngfǎn,hsiang¹ fan³,shiang faan
箱,xiāng,hsiang¹,shiang
箱子,xiāng zi,hsiang¹ zi,shiang zi
想念,xiǎngniàn,hsiang³ nien⁴,sheang niann
想象,xiǎngxiàng,hsiang³ hsiang⁴,sheang shianq
项,xiàng,hsiang⁴,shianq
项目,xiàngmù,hsiang⁴ mu⁴,shianq muh
相片,xiàng piàn,hsiang⁴ p'ien⁴,shianq piann
消化,xiāohuà,hsiao¹ hua⁴,shiau huah
销售,xiāoshòu,hsiao¹ shou⁴,shiau show
小吃,xiǎochī,hsiao³ ch'ih¹,sheau chy
小伙子,xiǎohuǒzi,hsiao³ huo³ zi,sheau huoo zi
小型,xiǎo xíng,hsiao³ hsing²,sheau shyng
些,xiē,hsieh¹,shie
心理,xīnlǐ,hsin¹ li³,shin lii
新郎,xīnláng,hsin¹ lang²,shin lang
新娘,xīnniáng,hsin¹ niang²,shin niang
新鲜,xīnxiān,hsin¹ hsien¹,shin shian
新型,xīn xíng,hsin¹ hsing²,shin shyng
兴奋,xīngfèn,hsing¹ fen⁴,shing fenn
形容,xíngróng,hsing² jung²,shyng rong
形势,xíngshì,hsing² shih⁴,shyng shyh
型,xíng,hsing²,shyng
型号,xíng hào,hsing² hao⁴,shyng haw
醒,xǐng,hsing³,shiing
兴趣,xìng qù,hsing⁴ ch'ü⁴,shinq chiuh
性质,xìngzhì,hsing⁴ chih⁴,shinq jyh
兄弟,xiōngdì,hsiung¹ ti⁴,shiong dih
胸部,xiōng bù,hsiung¹ pu⁴,shiong buh
修理,xiūlǐ,hsiu¹ li³,shiou lii
选择,xuǎnzé,hsüan³ tse²,sheuan tzer
学分,xué fēn,hsüeh² fen¹,shyue fen
学年,xué nián,hsüeh² nien²,shyue nian
学时,xué shí,hsüeh² shih²,shyue shyr
学术,xuéshù,hsüeh² shu⁴,shyue shuh
寻找,xúnzhǎo,hsün² chao³,shyun jao
迅速,xùnsù,hsün⁴ su⁴,shiunn suh
牙,yá,ya²,ya
牙刷,yá shuā,ya² shua¹,ya shua
亚运会,yà yùn huì,ya⁴ yün⁴ hui⁴,yah yunn huey
呀,ya,ya,ya
延长,yáncháng,yan² ch'ang²,yan charng
延期,yánqī,yan² ch'i¹,yan chi
延续,yánxù,yan² hsü⁴,yan shiuh
严,yán,yan²,yan
严格,yángé,yan² ko²,yan ger
严重,yánzhòng,yan² chung⁴,yan jonq
研究,yánjiū,yan² chiu¹,yan jiou
研究生,yán jiū shēng,yan² chiu¹ sheng¹,yan jiou sheng
研制,yán zhì,yan² chih⁴,yan jyh
盐,yán,yan²,yan
眼镜,yǎnjìng,yan³ ching⁴,yean jinq
眼泪,yǎn lèi,yan³ lei⁴,yean ley
演讲,yǎnjiǎng,yan³ chiang³,yean jeang
阳台,yángtái,yang² t'ai²,yang tair
养成,yǎngchéng,yang³ ch'eng²,yeang cherng
腰,yāo,yao¹,iau
摇,yáo,yao²,yau
药物,yào wù,yao⁴ wu⁴,yaw wuh
要,yào,yao⁴,yaw
业余,yèyú,yeh⁴ yü²,yeh yu
叶子,yèzi,yeh⁴ zi,yeh zi
医疗,yī liáo,i¹ liao²,i liau
医学,yī xué,i¹ hsüeh²,i shyue
依靠,yīkào,i¹ k'ao⁴,i kaw
依然,yīrán,i¹ jan²,i ran
移,yí,i²,yi
移动,yídòng,i² tung⁴,yi donq
移民,yímín,i² min²,yi min
遗产,yíchǎn,i² ch'an³,yi chaan
遗传,yíchuán,i² ch'uan²,yi chwan
疑问,yíwèn,i² wen⁴,yi wenn
以及,yǐjí,i³ chi²,yii jyi
以内,yǐ nèi,i³ nei⁴,yii ney
义务,yìwù,i⁴ wu⁴,yih wuh
议论,yìlùn,i⁴ lun⁴,yih luenn
引,yǐn,yin³,yiin
引导,yǐndǎo,yin³ tao³,yiin dao
引进,yǐn jìn,yin³ chin⁴,yiin jinn
引起,yǐnqǐ,yin³ ch'i³,yiin chii
应,yīng,ying¹,ing
英勇,yīngyǒng,ying¹ yung³,ing yeong
营业,yíngyè,ying² yeh⁴,yng yeh
赢得,yíng dé,ying² te²,yng der
影子,yǐngzi,ying³ zi,yiing zi
勇敢,yǒnggǎn,yung³ kan³,yeong gaan
勇气,yǒngqì,yung³ ch'i⁴,yeong chih
用途,yòngtú,yung⁴ t'u²,yonq twu
优良,yōu liáng,yu¹ liang²,iou liang
优美,yōuměi,yu¹ mei³,iou meei
优秀,yōuxiù,yu¹ hsiu⁴,iou shiow
邮局,yóujú,yu² chü²,you jyu
有趣,yǒuqù,yu³ ch'ü⁴,yeou chiuh
有限,yǒu xiàn,yu³ hsien⁴,yeou shiann
幼儿园,yòu’éryuán,yu⁴ erh² yüan²,yow erl yuan
于是,yúshì,yü² shih⁴,yu shyh
语法,yǔfǎ,yü³ fa³,yeu faa
语音,yǔ yīn,yü³ yin¹,yeu in
玉,yù,yü⁴,yuh
玉米,yùmǐ,yü⁴ mi³,yuh mii
预测,yù cè,yü⁴ ts'e⁴,yuh tseh
预订,yùdìng,yü⁴ ting⁴,yuh dinq
遇,yù,yü⁴,yuh
遇到,yùdào,yü⁴ tao⁴,yuh daw
遇见,yù jiàn,yü⁴ chien⁴,yuh jiann
