Chinese,Pinyin,Wade-Giles,Romatzyh
电视台,diàn shì tái,tien⁴ shih⁴ t'ai²,diann shyh tair
电台,diàntái,tien⁴ t'ai²,diann tair
电子邮件,diànzǐyóujiàn,tien⁴ tzu³ yu² chien⁴,diann tzyy you jiann
调,diào,tiao⁴,diaw
调查,diàochá,tiao⁴ ch'a²,diaw char
订,dìng,ting⁴,dinq
定期,dìngqī,ting⁴ ch'i¹,dinq chi
东部,dōng bù,tung¹ pu⁴,dong buh
动力,dònglì,tung⁴ li⁴,donq lih
动人,dòng rén,tung⁴ jen²,donq ren
读者,dú zhě,tu² che³,dwu jee
短处,duǎn chù,tuan³ ch'u⁴,doan chuh
短裤,duǎn kù,tuan³ k'u⁴,doan kuh
短期,duǎn qī,tuan³ ch'i¹,doan chi
断,duàn,tuan⁴,duann
队员,duì yuán,tui⁴ yüan²,duey yuan
对待,duìdài,tui⁴ tai⁴,duey day
对方,duìfāng,tui⁴ fang¹,duey fang
对手,duìshǒu,tui⁴ shou³,duey shoou
对象,duìxiàng,tui⁴ hsiang⁴,duey shianq
顿,dùn,tun⁴,duenn
发表,fābiǎo,fa¹ piao³,fa beau
发出,fā chū,fa¹ ch'u¹,fa chu
发达,fādá,fa¹ ta²,fa dar
发动,fādòng,fa¹ tung⁴,fa donq
发明,fāmíng,fa¹ ming²,fa ming
发生,fāshēng,fa¹ sheng¹,fa sheng
发送,fā sòng,fa¹ sung⁴,fa sonq
发言,fāyán,fa¹ yan²,fa yan
发展,fāzhǎn,fa¹ chan³,fa jaan
反对,fǎnduì,fan³ tui⁴,faan duey
反复,fǎnfù,fan³ fu⁴,faan fuh
反应,fǎnyìng,fan³ ying⁴,faan yinq
反正,fǎnzhèng,fan³ cheng⁴,faan jenq
范围,fànwéi,fan⁴ wei²,fann wei
方式,fāngshì,fang¹ shih⁴,fang shyh
防,fáng,fang²,farng
防止,fángzhǐ,fang² chih³,farng jyy
房东,fángdōng,fang² tung¹,farng dong
房屋,fáng wū,fang² wu¹,farng u
房租,fáng zū,fang² tsu¹,farng tzu
访问,fǎngwèn,fang³ wen⁴,faang wenn
放到,fàng dào,fang⁴ tao⁴,fanq daw
飞行,fēi xíng,fei¹ hsing²,fei shyng
费,fèi,fei⁴,fey
费用,fèi yòng,fei⁴ yung⁴,fey yonq
分别,fēnbié,fen¹ pieh²,fen bye
分配,fēnpèi,fen¹ p'ei⁴,fen pey
分组,fēn zǔ,fen¹ tsu³,fen tzuu
丰富,fēngfù,feng¹ fu⁴,feng fuh
风险,fēngxiǎn,feng¹ hsien³,feng shean
否定,fǒudìng,fou³ ting⁴,foou dinq
否认,fǒurèn,fou³ jen⁴,foou renn
服装,fúzhuāng,fu² chuang¹,fwu juang
福,fú,fu²,fwu
父母,fù mǔ,fu⁴ mu³,fuh muu
父亲,fùqīn,fu⁴ ch'in¹,fuh chin
付,fù,fu⁴,fuh
负责,fùzé,fu⁴ tse²,fuh tzer
复印,fùyìn,fu⁴ yin⁴,fuh yinn
复杂,fùzá,fu⁴ tsa²,fuh tzar
富,fù,fu⁴,fuh
改进,gǎijìn,kai³ chin⁴,gae jinn
改造,gǎi zào,kai³ tsao⁴,gae tzaw
概念,gàiniàn,kai⁴ nien⁴,gay niann
赶,gǎn,kan³,gaan
赶到,gǎn dào,kan³ tao⁴,gaan daw
赶紧,gǎnjǐn,kan³ chin³,gaan jiin
赶快,gǎnkuài,kan³ k'uai⁴,gaan kuay
敢,gǎn,kan³,gaan
感冒,gǎnmào,kan³ mao⁴,gaan maw
感情,gǎnqíng,kan³ ch'ing²,gaan chyng
感受,gǎnshòu,kan³ shou⁴,gaan show
干吗,gàn má,kan⁴ ma²,gann ma
高速,gāo sù,kao¹ su⁴,gau suh
高速公路,gāosùgōnglù,kao¹ su⁴ kung¹ lu⁴,gau suh gong luh
告别,gàobié,kao⁴ pieh²,gaw bye
歌迷,gē mí,ko¹ mi²,ge mi
歌声,gē shēng,ko¹ sheng¹,ge sheng
歌手,gē shǒu,ko¹ shou³,ge shoou
个人,gèrén,ko⁴ jen²,geh ren
个性,gèxìng,ko⁴ hsing⁴,geh shinq
各,gè,ko⁴,geh
各地,gè dì,ko⁴ ti⁴,geh dih
各位,gè wèi,ko⁴ wei⁴,geh wey
各种,gè zhǒng,ko⁴ chung³,geh joong
各自,gèzì,ko⁴ tzu⁴,geh tzyh
根本,gēnběn,ken¹ pen³,gen been
更加,gèng jiā,keng⁴ chia¹,genq jia
工厂,gōngchǎng,kung¹ ch'ang³,gong chaang
工程师,gōngchéngshī,kung¹ ch'eng² shih¹,gong cherng shy
工夫,gōng fu,kung¹ fu,gong fu
工具,gōngjù,kung¹ chü⁴,gong jiuh
工业,gōngyè,kung¹ yeh⁴,gong yeh
工资,gōngzī,kung¹ tzu¹,gong tzy
公布,gōngbù,kung¹ pu⁴,gong buh
公共,gōng gòng,kung¹ kung⁴,gong gonq
公开,gōngkāi,kung¹ k'ai¹,gong kai
公民,gōngmín,kung¹ min²,gong min
公务员,gōng wù yuán,kung¹ wu⁴ yüan²,gong wuh yuan
功夫,gōngfu,kung¹ fu,gong fu
功课,gōng kè,kung¹ k'o⁴,gong keh
功能,gōngnéng,kung¹ neng²,gong neng
共同,gòngtóng,kung⁴ t'ung²,gonq torng
共有,gòng yǒu,kung⁴ yu³,gonq yeou
姑娘,gūniang,ku¹ niang,gu niang
古,gǔ,ku³,guu
古代,gǔdài,ku³ tai⁴,guu day
故乡,gùxiāng,ku⁴ hsiang¹,guh shiang
挂,guà,kua⁴,guah
关注,guān zhù,kuan¹ chu⁴,guan juh
观察,guānchá,kuan¹ ch'a²,guan char
观看,guān kàn,kuan¹ k'an⁴,guan kann
观念,guānniàn,kuan¹ nien⁴,guan niann
观众,guānzhòng,kuan¹ chung⁴,guan jonq
管,guǎn,kuan³,goan
管理,guǎnlǐ,kuan³ li³,goan lii
光,guāng,kuang¹,guang
光明,guāngmíng,kuang¹ ming²,guang ming
广播,guǎngbō,kuang³ po¹,goang bo
广大,guǎngdà,kuang³ ta⁴,goang dah
规定,guīdìng,kuei¹ ting⁴,guei dinq
规范,guīfàn,kuei¹ fan⁴,guei fann
国内,guó nèi,kuo² nei⁴,gwo ney
国庆,guó qìng,kuo² ch'ing⁴,gwo chinq
果然,guǒrán,kuo³ jan²,guoo ran
果汁,guǒzhī,kuo³ chih¹,guoo jy
过程,guòchéng,kuo⁴ ch'eng²,guoh cherng
过去,guò qù,kuo⁴ ch'ü⁴,guoh chiuh
哈哈,hā hā,ha¹ ha¹,ha ha
海关,hǎiguān,hai³ kuan¹,hae guan
害怕,hàipà,hai⁴ p'a⁴,hay pah
行,háng,hang²,harng
好好,hǎo hǎo,hao³ hao³,hao hao
好奇,hàoqí,hao⁴ ch'i²,haw chyi
合,hé,ho²,her
合法,héfǎ,ho² fa³,her faa
合格,hégé,ho² ko²,her ger
合理,hélǐ,ho² li³,her lii
合作,hézuò,ho² tso⁴,her tzuoh
和平,hépíng,ho² p'ing²,her pyng
红茶,hóng chá,hung² ch'a²,horng char
红酒,hóng jiǔ,hung² chiu³,horng jeou
后果,hòuguǒ,hou⁴ kuo³,how guoo
后年,hòu nián,hou⁴ nien²,how nian
互联网,hùliánwǎng,hu⁴ lien² wang³,huh lian woang
互相,hùxiāng,hu⁴ hsiang¹,huh shiang
划船,huá chuán,hua² ch'uan²,hwa chwan
华人,huá rén,hua² jen²,hwa ren
化,huà ,hua⁴,huah
话剧,huà jù,hua⁴ chü⁴,huah jiuh
话题,huàtí,hua⁴ t'i²,huah tyi
欢乐,huānlè,huan¹ le⁴,huan leh
环,huán,huan²,hwan
环保,huán bǎo,huan² pao³,hwan bao
环境,huánjìng,huan² ching⁴,hwan jinq
会议,huìyì,hui⁴ i⁴,huey yih
会员,huì yuán,hui⁴ yüan²,huey yuan
活,huó,huo²,hwo
火,huǒ,huo³,huoo
机器,jīqì,chi¹ ch'i⁴,ji chih
积极,jījí,chi¹ chi²,ji jyi
基本,jīběn,chi¹ pen³,ji been
基础,jīchǔ,chi¹ ch'u³,ji chuu
及时,jíshí,chi² shih²,jyi shyr
…极了,… jí le,…jíle,…jíle
集体,jítǐ,chi² t'i³,jyi tii
集中,jízhōng,chi² chung¹,jyi jong
计算,jìsuàn,chi⁴ suan⁴,jih suann
记录,jìlù,chi⁴ lu⁴,jih luh
记者,jìzhě,chi⁴ che³,jih jee
纪录,jìlù,chi⁴ lu⁴,jih luh
纪念,jìniàn,chi⁴ nien⁴,jih niann
技术,jìshù,chi⁴ shu⁴,jih shuh
继续,jìxù,chi⁴ hsü⁴,jih shiuh
加工,jiāgōng,chia¹ kung¹,jia gong
加快,jiā kuài,chia¹ k'uai⁴,jia kuay
加强,jiā qiáng,chia¹ ch'iang²,jia chyang
家具,jiājù,chia¹ chü⁴,jia jiuh
家属,jiāshǔ,chia¹ shu³,jia shuu
家乡,jiāxiāng,chia¹ hsiang¹,jia shiang
价格,jiàgé,chia⁴ ko²,jiah ger
价值,jiàzhí,chia⁴ chih²,jiah jyr
架,jià,chia⁴,jiah
坚持,jiānchí,chien¹ ch'ih²,jian chyr
坚决,jiānjué,chien¹ chüeh²,jian jyue
坚强,jiānqiáng,chien¹ ch'iang²,jian chyang
简单,jiǎndān,chien³ tan¹,jean dan
简直,jiǎnzhí,chien³ chih²,jean jyr
建,jiàn,chien⁴,jiann
建成,jiàn chéng,chien⁴ ch'eng²,jiann cherng
建立,jiànlì,chien⁴ li⁴,jiann lih
建设,jiànshè,chien⁴ she⁴,jiann sheh
建议,jiànyì,chien⁴ i⁴,jiann yih
将近,jiāngjìn,chiang¹ chin⁴,jiang jinn
将来,jiānglái,chiang¹ lai²,jiang lai
交费,jiāo fèi,chiao¹ fei⁴,jiau fey
交警,jiāo jǐng,chiao¹ ching³,jiau jiing
交流,jiāoliú,chiao¹ liu²,jiau liou
交往,jiāowǎng,chiao¹ wang³,jiau woang
交易,jiāoyì,chiao¹ i⁴,jiau yih
叫,jiào,chiao⁴,jiaw
较,jiào,chiao⁴,jiaw
教材,jiàocái,chiao⁴ ts'ai²,jiaw tsair
教练,jiàoliàn,chiao⁴ lien⁴,jiaw liann
接待,jiēdài,chieh¹ tai⁴,jie day
接近,jiējìn,chieh¹ chin⁴,jie jinn
节约,jiéyuē,chieh² yüeh¹,jye iue
结合,jiéhé,chieh² ho²,jye her
结婚,jiéhūn,chieh² hun¹,jye huen
结束,jiéshù,chieh² shu⁴,jye shuh
解决,jiějué,chieh³ chüeh²,jiee jyue
解开,jiě kāi,chieh³ k'ai¹,jiee kai
金,jīn,chin¹,jin
金牌,jīn pái,chin¹ p'ai²,jin pair
仅,jǐn,chin³,jiin
仅仅,jǐn jǐn,chin³ chin³,jiin jiin
尽量,jǐnliàng,chin³ liang⁴,jiin lianq
紧,jǐn,chin³,jiin
紧急,jǐnjí,chin³ chi²,jiin jyi
紧张,jǐnzhāng,chin³ chang¹,jiin jang
进步,jìnbù,chin⁴ pu⁴,jinn buh
进展,jìnzhǎn,chin⁴ chan³,jinn jaan
近期,jìn qī,chin⁴ ch'i¹,jinn chi
京剧,jīngjù,ching¹ chü⁴,jing jiuh
经济,jīngjì,ching¹ chi⁴,jing jih
经历,jīnglì,ching¹ li⁴,jing lih
经验,jīngyàn,ching¹ yan⁴,jing yann
经营,jīngyíng,ching¹ ying²,jing yng
精彩,jīngcǎi,ching¹ ts'ai³,jing tsae
精神,jīngshén,ching¹ shen²,jing shern
景色,jǐngsè,ching³ se⁴,jiing seh
警察,jǐngchá,ching³ ch'a²,jiing char
静,jìng,ching⁴,jinq
久,jiǔ,chiu³,jeou
旧,jiù,chiu⁴,jiow
救,jiù,chiu⁴,jiow
就是,jiù shì,chiu⁴ shih⁴,jiow shyh
就业,jiùyè,chiu⁴ yeh⁴,jiow yeh
举办,jǔbàn,chü³ pan⁴,jeu bann
具体,jùtǐ,chü⁴ t'i³,jiuh tii
具有,jù yǒu,chü⁴ yu³,jiuh yeou
剧场,jù chǎng,chü⁴ ch'ang³,jiuh chaang
据说,jùshuō,chü⁴ shuo¹,jiuh shuo
决定,juédìng,chüeh² ting⁴,jyue dinq
决赛,juésài,chüeh² sai⁴,jyue say
决心,juéxīn,chüeh² hsin¹,jyue shin
绝对,juéduì,chüeh² tui⁴,jyue duey
咖啡,kāfēi,k'a¹ fei¹,ka fei
开发,kāifā,k'ai¹ fa¹,kai fa
开放,kāifàng,k'ai¹ fang⁴,kai fanq
开始,kāishǐ,k'ai¹ shih³,kai shyy
开业,kāi yè,k'ai¹ yeh⁴,kai yeh
开展,kāizhǎn,k'ai¹ chan³,kai jaan
考验,kǎoyàn,k'ao³ yan⁴,kao yann
科技,kē jì,k'o¹ chi⁴,ke jih
可靠,kěkào,k'o³ k'ao⁴,kee kaw
可乐,kě lè,k'o³ le⁴,kee leh
克服,kèfú,k'o⁴ fu²,keh fwu
客观,kèguān,k'o⁴ kuan¹,keh guan
课程,kèchéng,k'o⁴ ch'eng²,keh cherng
空,kōng,k'ung¹,kong
空调,kōngtiáo,k'ung¹ t'iao²,kong tyau
恐怕,kǒngpà,k'ung³ p'a⁴,koong pah
空儿,kòngr,k'ung⁴ r,konq r
裤子,kùzi,k'u⁴ zi,kuh zi
快速,kuài sù,k'uai⁴ su⁴,kuay suh
困,kùn,k'un⁴,kuenn
浪费,làngfèi,lang⁴ fei⁴,lanq fey
老百姓,lǎobǎixìng,lao³ pai³ hsing⁴,lao bae shinq
老板,lǎobǎn,lao³ pan³,lao baan
老太太,lǎo tài tai,lao³ t'ai⁴ tai,lao tay tai
老头儿,lǎo tóur,lao³ t'ou² r,lao tour r
乐,lè,le⁴,leh
乐观,lèguān,le⁴ kuan¹,leh guan
类,lèi,lei⁴,ley
类似,lèisì,lei⁴ ssu⁴,ley syh
离婚,líhūn,li² hun¹,li huen
里面,lǐ miàn,li³ mien⁴,lii miann
理发,lǐfà,li³ fa⁴,lii fah
理解,lǐjiě,li³ chieh³,lii jiee
理论,lǐlùn,li³ lun⁴,lii luenn
理由,lǐyóu,li³ yu²,lii you
力,lì,li⁴,lih
立刻,lìkè,li⁴ k'o⁴,lih keh
利用,lìyòng,li⁴ yung⁴,lih yonq
连,lián,lien²,lian
连忙,liánmáng,lien² mang²,lian mang
连续,liánxù,lien² hsü⁴,lian shiuh
连续剧,lián xù jù,lien² hsü⁴ chü⁴,lian shiuh jiuh
联合,liánhé,lien² ho²,lian her
联合国,lián hé guó,lien² ho² kuo²,lian her gwo
联系,liánxì,lien² hsi⁴,lian shih
凉水,liáng shuǐ,liang² shui³,liang shoei
了,le,le,le
领,lǐng,ling³,liing
领导,lǐngdǎo,ling³ tao³,liing dao
领先,lǐngxiān,ling³ hsien¹,liing shian
另外,lìngwài,ling⁴ wai⁴,linq way
留学,liúxué,liu² hsüeh²,liou shyue
龙,lóng,lung²,long
录,lù,lu⁴,luh
录音,lùyīn,lu⁴ yin¹,luh in
路线,lù xiàn,lu⁴ hsien⁴,luh shiann
乱,luàn,luan⁴,luann
落后,luòhòu,lo⁴ hou⁴,luoh how
麻烦,máfan,ma² fan,ma fan
马,mǎ,ma³,maa
满足,mǎnzú,man³ tsu²,maan tzwu
慢慢,màn màn,man⁴ man⁴,mann mann
毛,máo,mao²,mau
毛病,máobìng,mao² ping⁴,mau binq
没用,méi yòng,mei² yung⁴,mei yonq
媒体,méitǐ,mei² t'i³,mei tii
每,měi,mei³,meei
美,měi,mei³,meei
美好,měi hǎo,mei³ hao³,meei hao
美丽,měilì,mei³ li⁴,meei lih
美食,měi shí,mei³ shih²,meei shyr
美术,měishù,mei³ shu⁴,meei shuh
美元,měi yuán,mei³ yüan²,meei yuan
迷,mí,mi²,mi
米,mǐ,mi³,mii
面对,miànduì,mien⁴ tui⁴,miann duey
面积,miànjī,mien⁴ chi¹,miann ji
民间,mínjiān,min² chien¹,min jian
民族,mínzú,min² tsu²,min tzwu
明确,míngquè,ming² ch'üeh⁴,ming chiueh
明显,míngxiǎn,ming² hsien³,ming shean
命运,mìngyùn,ming⁴ yün⁴,minq yunn
某,mǒu,mou³,moou
母亲,mǔqīn,mu³ ch'in¹,muu chin
木头,mùtou,mu⁴ tou,muh tou
目标,mùbiāo,mu⁴ piao¹,muh biau
目前,mùqián,mu⁴ ch'ien²,muh chyan
奶茶,nǎi chá,nai³ ch'a²,nae char
男子,nán zǐ,nan² tzu³,nan tzyy
南部,nán bù,nan² pu⁴,nan buh
难道,nándào,nan² tao⁴,nan daw
难度,nán dù,nan² tu⁴,nan duh
内,nèi,nei⁴,ney
内容,nèiróng,nei⁴ jung²,ney rong
内心,nèi xīn,nei⁴ hsin¹,ney shin
能不能,néng bù néng,neng² bùnéng,neng bùnéng
能力,nénglì,neng² li⁴,neng lih
年初,nián chū,nien² ch'u¹,nian chu
年代,niándài,nien² tai⁴,nian day
年底,nián dǐ,nien² ti³,nian dii
年纪,niánjì,nien² chi⁴,nian jih
念,niàn,nien⁴,niann
牛,niú,niu²,niou
农村,nóngcūn,nung² ts'un¹,nong tsuen
农民,nóngmín,nung² min²,nong min
农业,nóngyè,nung² yeh⁴,nong yeh
暖和,nuǎnhuo,nuan³ huo,noan huo
怕,pà,p'a⁴,pah
拍,pāi,p'ai¹,pai
排,pái,p'ai²,pair
排名,pái míng,p'ai² ming²,pair ming
牌子,pái zi,p'ai² zi,pair zi
派,pài,p'ai⁴,pay
判断,pànduàn,p'an⁴ tuan⁴,pann duann
跑步,pǎobù,p'ao³ pu⁴,pao buh
配,pèi,p'ei⁴,pey
配合,pèihé,p'ei⁴ ho²,pey her
批评,pīpíng,p'i¹ p'ing²,pi pyng
批准,pīzhǔn,p'i¹ chun³,pi joen
皮,pí,p'i²,pyi
皮包,pí bāo,p'i² pao¹,pyi bau
啤酒,píjiǔ,p'i² chiu³,pyi jeou
票价,piào jià,p'iao⁴ chia⁴,piaw jiah
评价,píngjià,p'ing² chia⁴,pyng jiah
苹果,píngguǒ,p'ing² kuo³,pyng guoo
破,pò,p'o⁴,poh
破坏,pòhuài,p'o⁴ huai⁴,poh huay
普遍,pǔbiàn,p'u³ pien⁴,puu biann
普及,pǔjí,p'u³ chi²,puu jyi
期,qī,ch'i¹,chi
齐,qí,ch'i²,chyi
其次,qícì,ch'i² tz'u⁴,chyi tsyh
其实,qíshí,ch'i² shih²,chyi shyr
奇怪,qíguài,ch'i² kuai⁴,chyi guay
气候,qìhòu,ch'i⁴ hou⁴,chih how
千万,qiānwàn,ch'ien¹ wan⁴,chian wann
前后,qián hòu,ch'ien² hou⁴,chyan how
前进,qián jìn,ch'ien² chin⁴,chyan jinn
前面,qiánmiàn,ch'ien² mien⁴,chyan miann
前往,qián wǎng,ch'ien² wang³,chyan woang
强,qiáng,ch'iang²,chyang
强大,qiáng dà,ch'iang² ta⁴,chyang dah
强调,qiángdiào,ch'iang² tiao⁴,chyang diaw
强烈,qiángliè,ch'iang² lieh⁴,chyang lieh
桥,qiáo,ch'iao²,chyau
巧,qiǎo,ch'iao³,cheau
亲,qīn,ch'in¹,chin
亲切,qīnqiè,ch'in¹ ch'ieh⁴,chin chieh
亲人,qīn rén,ch'in¹ jen²,chin ren
亲自,qīnzì,ch'in¹ tzu⁴,chin tzyh
情感,qíng gǎn,ch'ing² kan³,chyng gaan
情况,qíngkuàng,ch'ing² k'uang⁴,chyng kuanq
请教,qǐngjiào,ch'ing³ chiao⁴,chiing jiaw
庆祝,qìngzhù,ch'ing⁴ chu⁴,chinq juh
球迷,qiúmí,ch'iu² mi²,chyou mi
区,qū,ch'ü¹,chiu
区别,qūbié,ch'ü¹ pieh²,chiu bye
取消,qǔxiāo,ch'ü³ hsiao¹,cheu shiau
去世,qùshì,ch'ü⁴ shih⁴,chiuh shyh
全场,quán chǎng,ch'üan² ch'ang³,chyuan chaang
全面,quánmiàn,ch'üan² mien⁴,chyuan miann
全球,quán qiú,ch'üan² ch'iu²,chyuan chyou
缺,quē,ch'üeh¹,chiue
缺点,quēdiǎn,ch'üeh¹ tien³,chiue dean
缺少,quēshǎo,ch'üeh¹ shao³,chiue shao
确保,quèbǎo,ch'üeh⁴ pao³,chiueh bao
确定,quèdìng,ch'üeh⁴ ting⁴,chiueh dinq
确实,quèshí,ch'üeh⁴ shih²,chiueh shyr
裙子,qúnzi,ch'ün² zi,chyun zi
群,qún,ch'ün²,chyun
热爱,rè’ài,je⁴ ai⁴,reh ay
热烈,rèliè,je⁴ lieh⁴,reh lieh
人才,réncái,jen² ts'ai²,ren tsair
人工,réngōng,jen² kung¹,ren gong
人类,rénlèi,jen² lei⁴,ren ley
人民,rén mín,jen² min²,ren min
人民币,rénmínbì,jen² min² pi⁴,ren min bih
人群,rén qún,jen² ch'ün²,ren chyun
人生,rénshēng,jen² sheng¹,ren sheng
人员,rényuán,jen² yüan²,ren yuan
认出,rèn chū,jen⁴ ch'u¹,renn chu
认可,rènkě,jen⁴ k'o³,renn kee
任,rèn,jen⁴,renn
任,rèn,jen⁴,renn
任何,rènhé,jen⁴ ho²,renn her
任务,rènwu,jen⁴ wu,renn wu
仍,réng,jeng²,reng
仍然,réngrán,jeng² jan²,reng ran
日常,rìcháng,jih⁴ ch'ang²,ryh charng
容易,róngyì,jung² i⁴,rong yih
如何,rúhé,ju² ho²,ru her
散步,sànbù,san⁴ pu⁴,sann buh
沙发,shāfā,sha¹ fa¹,sha fa
沙子,shā zi,sha¹ zi,sha zi
伤,shāng,shang¹,shang
伤心,shāngxīn,shang¹ hsin¹,shang shin
商品,shāngpǐn,shang¹ p'in³,shang piin
商业,shāngyè,shang¹ yeh⁴,shang yeh
上来,shàng lái,shang⁴ lai²,shanq lai
上面,shàng miàn,shang⁴ mien⁴,shanq miann
上去,shàng qù,shang⁴ ch'ü⁴,shanq chiuh
上升,shàng shēng,shang⁴ sheng¹,shanq sheng
上衣,shàng yī,shang⁴ i¹,shanq i
设备,shèbèi,she⁴ pei⁴,sheh bey
设计,shèjì,she⁴ chi⁴,sheh jih
设立,shèlì,she⁴ li⁴,sheh lih
社会,shèhuì,she⁴ hui⁴,sheh huey
身份证,shēn fèn zhèng,shen¹ fen⁴ cheng⁴,shen fenn jenq
深,shēn,shen¹,shen
深刻,shēnkè,shen¹ k'o⁴,shen keh
深入,shēn rù,shen¹ ju⁴,shen ruh
升,shēng,sheng¹,sheng
生,shēng,sheng¹,sheng
生产,shēngchǎn,sheng¹ ch'an³,sheng chaan
生存,shēngcún,sheng¹ ts'un²,sheng tswen
生动,shēngdòng,sheng¹ tung⁴,sheng donq
生命,shēngmìng,sheng¹ ming⁴,sheng minq
生长,shēngzhǎng,sheng¹ chang³,sheng jaang
声明,shēngmíng,sheng¹ ming²,sheng ming
胜,shèng,sheng⁴,shenq
胜利,shènglì,sheng⁴ li⁴,shenq lih
失去,shīqù,shih¹ ch'ü⁴,shy chiuh
石头,shítou,shih² tou,shyr tou
石油,shíyóu,shih² yu²,shyr you
时,shí,shih²,shyr
时代,shídài,shih² tai⁴,shyr day
时刻,shíkè,shih² k'o⁴,shyr keh
实际上,shí jì shàng,shih² chi⁴ shang⁴,shyr jih shanq
实力,shílì,shih² li⁴,shyr lih
实行,shíxíng,shih² hsing²,shyr shyng
实验,shíyàn,shih² yan⁴,shyr yann
实验室,shí yàn shì,shih² yan⁴ shih⁴,shyr yann shyh
食品,shí pǐn,shih² p'in³,shyr piin
使,shǐ,shih³,shyy
始终,shǐzhōng,shih³ chung¹,shyy jong
世纪,shìjì,shih⁴ chi⁴,shyh jih
世界,shìjiè,shih⁴ chieh⁴,shyh jieh
世界杯,shì jiè bēi,shih⁴ chieh⁴ pei¹,shyh jieh bei
市场,shìchǎng,shih⁴ ch'ang³,shyh chaang
事故,shìgù,shih⁴ ku⁴,shyh guh
事件,shìjiàn,shih⁴ chien⁴,shyh jiann
事实,shìshí,shih⁴ shih²,shyh shyr
事实上,shì shí shàng,shih⁴ shih² shang⁴,shyh shyr shanq
事业,shìyè,shih⁴ yeh⁴,shyh yeh
试题,shì tí,shih⁴ t'i²,shyh tyi
试验,shìyàn,shih⁴ yan⁴,shyh yann
适合,shìhé,shih⁴ ho²,shyh her
适应,shìyìng,shih⁴ ying⁴,shyh yinq
适用,shì yòng,shih⁴ yung⁴,shyh yonq
室,shì,shih⁴,shyh
收费,shōu fèi,shou¹ fei⁴,shou fey
收看,shōu kàn,shou¹ k'an⁴,shou kann
收听,shōu tīng,shou¹ t'ing¹,shou ting
收音机,shōuyīnjī,shou¹ yin¹ chi¹,shou in ji
手续,shǒuxù,shou³ hsü⁴,shoou shiuh
手指,shǒuzhǐ,shou³ chih³,shoou jyy
首都,shǒudū,shou³ tu¹,shoou du
首先,shǒuxiān,shou³ hsien¹,shoou shian
受,shòu,shou⁴,show
受伤,shòushāng,shou⁴ shang¹,show shang
书架,shūjià,shu¹ chia⁴,shu jiah
输,shū,shu¹,shu
输入,shūrù,shu¹ ju⁴,shu ruh
熟人,shú rén,shu² jen²,shwu ren
属,shǔ,shu³,shuu
属于,shǔyú,shu³ yü²,shuu yu
束,shù,shu⁴,shuh
数量,shùliàng,shu⁴ liang⁴,shuh lianq
双,shuāng,shuang¹,shuang
双方,shuāngfāng,shuang¹ fang¹,shuang fang
思想,sīxiǎng,ssu¹ hsiang³,sy sheang
死,sǐ,ssu³,syy
速度,sùdù,su⁴ tu⁴,suh duh
随,suí,sui²,swei
所,suǒ,so³,suoo
台,tái,t'ai²,tair
谈,tán,t'an²,tarn
谈话,tán huà,t'an² hua⁴,tarn huah
谈判,tánpàn,t'an² p'an⁴,tarn pann
汤,tāng,t'ang¹,tang
糖,táng,t'ang²,tarng
特色,tèsè,t'e⁴ se⁴,teh seh
提前,tíqián,t'i² ch'ien²,tyi chyan
提问,tíwèn,t'i² wen⁴,tyi wenn
题目,tímù,t'i² mu⁴,tyi muh
体会,tǐhuì,t'i³ hui⁴,tii huey
体现,tǐxiàn,t'i³ hsien⁴,tii shiann
体验,tǐyàn,t'i³ yan⁴,tii yann
天空,tiānkōng,t'ien¹ k'ung¹,tian kong
甜,tián,t'ien²,tyan
调,tiáo,t'iao²,tyau
调整,tiáozhěng,t'iao² cheng³,tyau jeeng
跳,tiào,t'iao⁴,tiaw
跳高,tiào gāo,t'iao⁴ kao¹,tiaw gau
跳舞,tiàowǔ,t'iao⁴ wu³,tiaw wuu
跳远,tiào yuǎn,t'iao⁴ yüan³,tiaw yeuan
铁,tiě,t'ieh³,tiee
铁路,tiě lù,t'ieh³ lu⁴,tiee luh
听力,tīng lì,t'ing¹ li⁴,ting lih
听众,tīng zhòng,t'ing¹ chung⁴,ting jonq
停止,tíng zhǐ,t'ing² chih³,tyng jyy
通常,tōngcháng,t'ung¹ ch'ang²,tong charng
通信,tōng xìn,t'ung¹ hsin⁴,tong shinn
同意,tóngyì,t'ung² i⁴,torng yih
痛,tòng,t'ung⁴,tonq
痛苦,tòngkǔ,t'ung⁴ k'u³,tonq kuu
头,tóu,t'ou²,tour
头脑,tóu nǎo,t'ou² nao³,tour nao
突出,tūchū,t'u¹ ch'u¹,tu chu
突然,tūrán,t'u¹ jan²,tu ran
图,tú,t'u²,twu
图画,tú huà,t'u² hua⁴,twu huah
土,tǔ,t'u³,tuu
团,tuán,t'uan²,twan
团结,tuánjié,t'uan² chieh²,twan jye
团体,tuántǐ,t'uan² t'i³,twan tii
推动,tuī dòng,t'ui¹ tung⁴,tuei donq
推广,tuīguǎng,t'ui¹ kuang³,tuei goang
推进,tuī jìn,t'ui¹ chin⁴,tuei jinn
推开,tuī kāi,t'ui¹ k'ai¹,tuei kai
退,tuì,t'ui⁴,tuey
退出,tuì chū,t'ui⁴ ch'u¹,tuey chu
退休,tuìxiū,t'ui⁴ hsiu¹,tuey shiou
外交,wàijiāo,wai⁴ chiao¹,way jiau
